item_id,Question,Final Answer,Reasoning,Option a,Option b,Option c,Option d,Language,Subdomain,Type,Domain
117,"In the case of admission of a partner, the entry for unrecorded investments will be",c,"When a new partner is admitted, unrecorded assets or investments discovered are brought into the books at their fair value. Any gain from recognizing such unrecorded assets is treated as a revaluation profit, which is credited to the Revaluation Account.",Debit Partner Capital A/cs and Credit Investment A/c,Debit Revaluation A/cs and Credit Investment A/c,Debit Investment A/cs and Credit Revaluation A/c,None of the above,english,B.Com,moderate,Partnership Accounts
118,"Goodwill of a firm of A and B is valued at ₹30,000. It is appearing in the books at ₹12,000. C is admitted for 1/4share. What amount he is supposed to bring for goodwill?",c,"Total goodwill of the firm = ₹30,000
C is admitted for 1/4 share
C’s share of goodwill = 30,000×14=7,500","₹ 30,000","₹ 4,500","₹ 7,500","₹ 10,500",english,B.Com,hard,Partnership Accounts
119,"Ramesh and Suresh are partners sharing profits in the ration of 2:1 respectively. Ramesh capital ₹ 1,02,000 and Suresh capital are ₹73,000. They admit Mahesh and agree to give him 1/5th share in future profit. Mahesh brings ₹14,000 as his share of goodwill. He agrees to contribute capital in the new profit-sharing ration. How much capital will be brought by Mahesh?",c,"Old profit-sharing ratio   Ramesh : Suresh = 2 : 1
Mahesh’s share= 1/5
⇒ Old partners together sacrifice 1/5 in 2 : 1
Ramesh’s sacrifice = 2/3×1/5=2/15
Suresh’s sacrifice = 1/3×1/5=1/15
Goodwill brought by Mahesh = ₹14,000
This represents 1/5 share, so:
Total goodwill=14,000×5=70,000
Distributed in sacrificing ratio 2 : 1:
Ramesh = ₹9,333.33
Suresh = ₹4,666.67
Adjusted capitals of old partners
Ramesh = 1,02,000 + 9,333.33 = ₹1,11,333.33
Suresh = 73,000 + 4,666.67 = ₹77,666.67
Total adjusted old capital = ₹1,89,000
Old partners’ combined share after admission
= 4/5
So, total capital of new firm:1,89,000×5/4=2,36,250
Mahesh’s capital   1/5 share :2,36,250*1/5=47,250
","₹ 43,750","₹ 45,000","₹ 47,250","₹ 48,000",english,B.Com,hard,Partnership Accounts
120,"A and Bare in partnership, sharing profits in the ratio of 3:2. They take C as a new partner. Goodwill of the firm is valued at 33,00,000 and C brings ₹30,000 as his share of goodwill in cash which is entirely credited to the capital account of A. New profit sharing ratio will be",c,"Since ₹30,000 goodwill is credited entirely to A, it means C’s share is taken only from A   B makes no sacrifice .
All the answer options end with “:01”, which implies C’s share = 1/10.
Old ratio A:B = 3:2 ⇒ A = 3/5, B = 2/5
C gets 1/10, entirely from A:
𝐴 new=3/5-1/10=6/10-1/10=5/10
𝐵 new=2/5=4/10
𝐶 new=1/10
So new ratio:5/10:4/10:1/10=5:4:1",3:02:01,6:03:01,5:04:01,4:05:01,english,B.Com,hard,Partnership Accounts
121,"X and Y are partners sharing profits in the ratio of 4:3. Z is admitted for 1/5th share and he brings in ₹1,40,000 as his share of goodwill in cash of which ₹1,20,000 is credited to X remaining amount to Y. New profit sharing ratio will be",b,"### Given

* Old ratio   X : Y  = **4 : 3**
* Z is admitted for **1/5 share**
* Goodwill brought by Z = **₹1,40,000**

  * Credited to X = ₹1,20,000
  * Credited to Y = ₹20,000

---

### Step 1: Sacrificing ratio of X and Y

Since goodwill is credited unevenly, **sacrifice is not in old ratio**.

Sacrifice ratio = amount of goodwill credited
X : Y = 1,20,000 : 20,000 = **6 : 1**

---

### Step 2: Old shares

Old total share = 1

* X =      4  /7   
* Y =      3  /7   

Z’s share = **1/5**

So, **total sacrifice by X and Y = 1/5**

---

### Step 3: Individual sacrifice

Using sacrificing ratio **6 : 1**:

* X’s sacrifice =      6  /7  X    1  /5  =   6  /35   
* Y’s sacrifice =      1  /7  X    1  /5  =   1  /35   

---

### Step 4: New profit shares

**X’s new share**
[
  4  /7  -   6  /35  =   20 - 6  /35  =   14  /35 
]

**Y’s new share**
[
  3  /7  -   1  /35  =   15 - 1  /35  =   14  /35 
]

**Z’s share**
[
  1  /5  =   7  /35 
]

---

### Step 5: New profit-sharing ratio

[
X : Y : Z = 14 : 14 : 7 =  boxed 2 : 2 : 1 
]

",4:03:05,2:02:01,1:02:02,2:01:02,english,B.Com,hard,Partnership Accounts
122,"A, B, C, and D are partners. A and B share 2/3rd of profits equally and Cand D share remaining profits in the ratio of 3: 2. Find the profit sharing ratio of A, B. C, and D",a,"### Step 1: Share of A and B

* A and B together share **2/3** of profits
* They share this **equally**

So:

* A =      2/3  /2  =   1  /3   
* B =      1  /3   

---

### Step 2: Share of C and D

* Remaining profits =    1 -   2  /3  =   1  /3   
* C : D = **3 : 2**   total = 5 parts 

So:

* C =      3  /5  X    1  /3  =   1  /5   
* D =      2  /5  X    1  /3  =   2  /15   

---

### Step 3: Write all shares with a common denominator   15 

* A =      1  /3  =   5  /15   
* B =      1  /3  =   5  /15   
* C =      1  /5  =   3  /15   
* D =      2  /15   

---

### Step 4: Profit-sharing ratio

[
A : B : C : D =  boxed 5 : 5 : 3 : 2 
]",5: 5: 3: 2,7: 7: 6: 4,2.5: 2.5: 8: 6,3: 9: 8: 3,english,B.Com,hard,Partnership Accounts
123,Sacrificing ratio is used to distribute ……………..in case of admission of a partner,b,"* **Sacrificing ratio** shows how much profit the **old partners give up** in favour of the new partner.
* Therefore, it is used to distribute **goodwill brought in by the new partner** among the old partners.

**Why not the others?**

* **Reserves** → distributed in old ratio
* **Revaluation profit** → distributed in old ratio
* **Balance in Profit and Loss Account** → distributed in old ratio
",Reserves,Goodwill,Revaluation Profit,Balance in Profit and Loss Account,english,B.Com,easy,Partnership Accounts
124,"X and Y are partners in a company with a capital of ₹1,80,000 and ₹2,00,000. Z was admitted for 1/3rd share in profits and brings ₹3,40,000 as capital. Calculate the amount of goodwill.",d,"**1. Calculate the Total Capital of the firm based on Z’s share:**
Z brings  for a  share.


**2. Calculate the Actual Combined Capital of all partners:**
This is the sum of the capital of X, Y, and the new partner Z.


**3. Calculate the Value of Goodwill:**
Goodwill is the difference between the total capital based on the new partner and the actual combined capital.
","₹ 2,40,000","₹ 1,00,000","₹ 1,50,000","₹ 3,00,000",english,B.Com,hard,Partnership Accounts
125,"A and B are partners sharing profits and losses in the ration of 5: 3. On admission, C brings ₹70,000 as cash and ₹43,000 against goodwill. The new profit ratio between A, B, and C is 7: 5: 4. The sacrifice ratio of A and B is",a,"* Old ratio   A : B  = **5 : 3**
* New ratio   A : B : C  = **7 : 5 : 4**

---

### Step 1: Convert ratios into fractions

**Old shares**

* A =      5  /8   
* B =      3  /8   

**New shares**

* Total parts = 7 + 5 + 4 = 16
* A =      7  /16   
* B =      5  /16   
* C =      4  /16  =   1  /4   

---

### Step 2: Calculate sacrifice

**A’s sacrifice**
[
  5  /8  -   7  /16  =   10 - 7  /16  =   3  /16 
]

**B’s sacrifice**
[
  3  /8  -   5  /16  =   6 - 5  /16  =   1  /16 
]

---

### Step 3: Sacrifice ratio

[
A : B =   3  /16  :   1  /16  =  boxed 3 : 1 
]
",3:01,1:03,4:05,5:09,english,B.Com,hard,Partnership Accounts
126,"A, B, and C are partner sharing profits in ratio 3: 2: 1. They agree to admit D into the firm. A, B, and C agreed to give 1/3rd, 1/6th, 1/9th share of their profit. The share of profit of D will be",d,"Old profit-sharing ratio of **A : B : C = 3 : 2 : 1**

Convert into fractions:

* A =      3  /6  =   1  /2   
* B =      2  /6  =   1  /3   
* C =      1  /6   

They agree to give from **their own shares**:

* A gives **1/3 of his share**
* B gives **1/6 of his share**
* C gives **1/9 of his share**

---

### Step 1: Calculate sacrifice of each partner

**A’s sacrifice**
[
  1  /3  X    1  /2  =   1  /6 
]

**B’s sacrifice**
[
  1  /6  X    1  /3  =   1  /18 
]

**C’s sacrifice**
[
  1  /9  X    1  /6  =   1  /54 
]

---

### Step 2: Total share given to D

Take LCM = 54

[
  1  /6  =   9  /54 ,  quad
  1  /18  =   3  /54 ,  quad
  1  /54  =   1  /54 
]

[
 text D’s share  =   9 + 3 + 1  /54  =   13  /54 
]",01-Oct,Nov-54,Dec-54,13/54,english,B.Com,hard,Partnership Accounts
